metric,value
total_segments,69966.0
reliable_segments,14546.0
low_confidence_segments,55420.0
risk_tier_count_Low_risk,9102.0
risk_tier_pct_Low_risk,13.01
risk_tier_count_Medium_risk,5391.0
risk_tier_pct_Medium_risk,7.71
risk_tier_count_High_risk,53.0
risk_tier_pct_High_risk,0.08
risk_tier_count_Insufficient_data,55420.0
risk_tier_pct_Insufficient_data,79.21
mean_speed_safety_score,40.42
max_speed_safety_score,75.0
mean_speed_gap_kmh,7.07
correlation_speed_safety_score_vs_ranked_percentile,0.0923
sensitivity_avg_top20pct_overlap_pct,80.0
mean_speed_limit_gap_kmh,12.79
pct_segments_posted_above_recommendation,73.2
crashes_2025_total,23715.0
crashes_2025_matched_to_segment,13413.0
crash_match_rate_pct,57.0
pct_thailand_segments_with_a_2025_crash,35.4
corr_score_vs_crash_rate_per_km,-0.0126
corr_score_vs_ksi_rate_per_km,-0.0319
corr_score_vs_fatality_rate_per_km,-0.0322
